,State,Registration Required,Permit to Carry Required,Permit to Purchase Required,Open Carry is Legal,Number of Registered Weapons,Incident Date,City Or County,Address,# Killed,# Injured
140,Texas,False,True,False,True,"725,368",16-Jul-19,San Antonio,6989 San Pedro Ave,0.0,4.0
141,Texas,False,True,False,True,"725,368",11-Jul-19,Houston,5901 Royal Palms St,0.0,4.0
142,Texas,False,True,False,True,"725,368",3-Jul-19,Katy,5507 Everhart Manor Ln,2.0,3.0
143,Texas,False,True,False,True,"725,368",30-Jun-19,Dallas,3535 Munger Ave,2.0,2.0
144,Texas,False,True,False,True,"725,368",17-Jun-19,San Antonio,E Market St and Tower of the Americas Way,0.0,4.0
145,Texas,False,True,False,True,"725,368",7-Jun-19,Austin,8220 TX-71,0.0,5.0
146,Texas,False,True,False,True,"725,368",29-May-19,Cleveland,26311 TX-321,3.0,2.0
147,Texas,False,True,False,True,"725,368",3-May-19,Dallas,5400 Cedar Springs Rd,1.0,3.0
148,Texas,False,True,False,True,"725,368",20-Apr-19,Corpus Christi,2900 block of Sunrise Ave,0.0,4.0
149,Texas,False,True,False,True,"725,368",21-Feb-19,Houston,12800 block of Eastbrook Dr,2.0,2.0
150,Texas,False,True,False,True,"725,368",17-Feb-19,Henderson,504 S Van Buren St,2.0,2.0
151,Texas,False,True,False,True,"725,368",11-Feb-19,Livingston,3628 FM 3126,5.0,0.0
152,Texas,False,True,False,True,"725,368",5-Feb-19,San Antonio,538 Hot Wells Blvd,2.0,2.0
153,Texas,False,True,False,True,"725,368",28-Jan-19,Houston,7815 Harding St,2.0,5.0
154,Texas,False,True,False,True,"725,368",19-Jan-19,Houston,7041 Sherman St,3.0,2.0
155,Tennessee,False,True,False,True,"121,140",10-Nov-19,Memphis,2080 E. Brooks Rd,1.0,4.0
156,Tennessee,False,True,False,True,"121,140",4-Aug-19,Memphis,443 E Shelby Dr,1.0,3.0
157,Tennessee,False,True,False,True,"121,140",17-Jun-19,Memphis,2872 Coach Dr,0.0,5.0
158,Tennessee,False,True,False,True,"121,140",9-Jun-19,Henning,265 N Main St,1.0,3.0
159,Tennessee,False,True,False,True,"121,140",28-Apr-19,Nashville,1407 Dr DB Todd Jr Blvd,0.0,7.0
160,Tennessee,False,True,False,True,"121,140",20-Apr-19,Memphis,761 Chestnut Ave,0.0,5.0
161,Tennessee,False,True,False,True,"121,140",20-Feb-19,Covington,529 N College St,0.0,4.0
162,South Dakota,False,True,False,True,"31,134",,,,,
163,South Carolina,False,True,False,False,"99,283",21-Oct-19,Sumter,29 Wesmark Blvd,0.0,4.0
164,South Carolina,False,True,False,False,"99,283",21-Sep-19,Lancaster,1399 Old Charlotte Rd,2.0,8.0
165,South Carolina,False,True,False,False,"99,283",8-Sep-19,Sumter,1083 Broad St,2.0,2.0
166,South Carolina,False,True,False,False,"99,283",31-Aug-19,Moncks Corner,336 Maplewood Rd,0.0,4.0
167,South Carolina,False,True,False,False,"99,283",22-Aug-19,Columbia,851 Bush River Rd,2.0,2.0
168,South Carolina,False,True,False,False,"99,283",23-Jun-19,Abbeville,1108 Cambridge St,3.0,1.0
169,South Carolina,False,True,False,False,"99,283",1-Jun-19,Allendale,473 Main St S,0.0,5.0
170,South Carolina,False,True,False,False,"99,283",31-Mar-19,North Charleston,1900 block of Jacksonville Rd,0.0,7.0
171,South Carolina,False,True,False,False,"99,283",19-Jan-19,Gaffney,1435 Wilcox Ave,1.0,4.0
172,South Carolina,False,True,False,False,"99,283",1-Jan-19,Columbia,1709 Decker Blvd,0.0,5.0
173,Rhode Island,False,True,True,True,"4,655",,,,,
174,Pennsylvania,False,True,False,True,"271,427",30-Oct-19,Philadelphia,5026 Walton Ave,4.0,0.0
175,Pennsylvania,False,True,False,True,"271,427",19-Oct-19,Duquesne,600 block of Priscilla Ave,0.0,4.0
176,Pennsylvania,False,True,False,True,"271,427",13-Oct-19,Philadelphia,W Clearfield St and N 8th St,0.0,6.0
177,Pennsylvania,False,True,False,True,"271,427",12-Oct-19,Philadelphia,700 block of W Russell St,1.0,3.0
178,Pennsylvania,False,True,False,True,"271,427",10-Oct-19,Philadelphia,900 block of S 5th St,0.0,5.0
179,Pennsylvania,False,True,False,True,"271,427",31-Aug-19,Philadelphia,4600 block of 4th St,2.0,2.0
180,Pennsylvania,False,True,False,True,"271,427",15-Aug-19,Philadelphia,5800 block of N 15th St,0.0,5.0
181,Pennsylvania,False,True,False,True,"271,427",14-Aug-19,Philadelphia,3716 N 15th St,0.0,6.0
182,Pennsylvania,False,True,False,True,"271,427",28-Jul-19,Philadelphia,2600 block of Carroll St,1.0,5.0
183,Pennsylvania,False,True,False,True,"271,427",20-Jul-19,Clairton,501 Waddell Ave,0.0,4.0
184,Pennsylvania,False,True,False,True,"271,427",13-Jul-19,Philadelphia,5433 Lansdowne Ave,0.0,7.0
185,Pennsylvania,False,True,False,True,"271,427",22-Jun-19,Philadelphia,2400 block of Moore St,0.0,4.0
186,Pennsylvania,False,True,False,True,"271,427",20-Jun-19,Allentown,343 Hamilton St,0.0,10.0
187,Pennsylvania,False,True,False,True,"271,427",16-Jun-19,Philadelphia,2910 S 70th St,1.0,5.0
188,Pennsylvania,False,True,False,True,"271,427",11-May-19,Effort,Toll Rd and Bayberry Rd,0.0,4.0
189,Pennsylvania,False,True,False,True,"271,427",10-May-19,Philadelphia,1900 block of N Croskey St,0.0,5.0
190,Pennsylvania,False,True,False,True,"271,427",21-Apr-19,Philadelphia,1500 block of South 31st St,0.0,4.0
191,Pennsylvania,False,True,False,True,"271,427",24-Jan-19,State College,1450 S Atherton St,4.0,1.0
192,Pennsylvania,False,True,False,True,"271,427",19-Jan-19,Lebanon,1140 Church St,0.0,4.0
193,Oregon,False,True,False,True,"74,722",19-May-19,Portland,226 SE Madison St,0.0,5.0
194,Oklahoma,False,True,False,True,"83,112",24-Oct-19,Oklahoma City,1900 block of NW 12th St,2.0,2.0
195,Oklahoma,False,True,False,True,"83,112",22-Oct-19,Oklahoma City (Midwest City),7020 E Green Ave,1.0,3.0
196,Oklahoma,False,True,False,True,"83,112",25-May-19,Oklahoma City,N Kelley Ave and NE 26th St,0.0,5.0
197,Oklahoma,False,True,False,True,"83,112",20-May-19,Tulsa,8118 E 16th St,2.0,2.0
198,Ohio,False,True,False,True,"175,819",17-Nov-19,Cleveland,7100 block of Lawn Ave,0.0,4.0
199,Ohio,False,True,False,True,"175,819",3-Nov-19,Toledo,600 block of Magnolia St,0.0,4.0
200,Ohio,False,True,False,True,"175,819",15-Oct-19,Columbus,1600 block of Manchester Ave,0.0,4.0
201,Ohio,False,True,False,True,"175,819",13-Oct-19,Akron,Main St,0.0,4.0
202,Ohio,False,True,False,True,"175,819",21-Sep-19,Cleveland,3616 East 144th St,4.0,0.0
203,Ohio,False,True,False,True,"175,819",1-Sep-19,Toledo,3257 Stickney Ave,0.0,4.0
204,Ohio,False,True,False,True,"175,819",4-Aug-19,Dayton,419 E 5th St,10.0,17.0
205,Ohio,False,True,False,True,"175,819",30-Jul-19,Columbus,1280 E Long St,0.0,5.0
206,Ohio,False,True,False,True,"175,819",26-Jun-19,Akron,900 block of Rowe St,1.0,3.0
207,Ohio,False,True,False,True,"175,819",23-Jun-19,Columbus,1767 Genessee Ave,0.0,5.0
208,Ohio,False,True,False,True,"175,819",9-Jun-19,Cleveland,17218 Tarkington Ave,1.0,3.0
209,Ohio,False,True,False,True,"175,819",20-May-19,Columbus,2424 Sullivant Ave,0.0,4.0
210,Ohio,False,True,False,True,"175,819",16-May-19,Cleveland,9500 Cardwell Ave,0.0,4.0
211,Ohio,False,True,False,True,"175,819",28-Apr-19,West Chester,4637 Wyndtree Dr,4.0,0.0
212,North Dakota,False,True,True,True,"19,720",,,,,
213,North Carolina,False,True,True,True,"181,209",24-Dec-19,High Point,1226 Montlieu Ave,0.0,6.0
214,North Carolina,False,True,True,True,"181,209",8-Nov-19,Raleigh,503 Bragg St,1.0,3.0
215,North Carolina,False,True,True,True,"181,209",3-Oct-19,Roxboro,700 South Foushee St,1.0,3.0
216,North Carolina,False,True,True,True,"181,209",7-Sep-19,Whiteville,Brittney Lane,3.0,1.0
217,North Carolina,False,True,True,True,"181,209",2-Sep-19,Greensboro,5528 W Market St,2.0,2.0
218,North Carolina,False,True,True,True,"181,209",1-Sep-19,Rocky Mount,521 Country Club Road,0.0,4.0
219,North Carolina,False,True,True,True,"181,209",31-Aug-19,Charlotte,10035 Dabney Dr,1.0,3.0
220,North Carolina,False,True,True,True,"181,209",12-Jun-19,Charlotte,305 N Graham St,1.0,3.0
221,North Carolina,False,True,True,True,"181,209",18-May-19,Winston Salem (Winston-salem),4252 Cody Drive,2.0,4.0
222,North Carolina,False,True,True,True,"181,209",30-Apr-19,Charlotte,9214 South Library Ln,2.0,4.0
223,North Carolina,False,True,True,True,"181,209",7-Apr-19,Winston Salem (Winston-salem),515 N Cherry St,0.0,7.0
224,New Mexico,False,True,False,True,"105,836",12-Sep-19,Albuquerque,1919 Ladera Dr NW,1.0,3.0
225,New Mexico,False,True,False,True,"105,836",12-Sep-19,Albuquerque,1028 Lura Pl SW,4.0,2.0
226,New Mexico,False,True,False,True,"105,836",25-Aug-19,Hobbs,1700 block of E Bond St,3.0,4.0
227,New Mexico,False,True,False,True,"105,836",7-Jul-19,Albuquerque,211 Gold Ave SW,0.0,4.0
228,New Mexico,False,True,False,True,"105,836",6-Jan-19,Roswell,1300 block of W College Blvd,0.0,4.0
229,New Hampshire,False,False,False,True,"59,341",,,,,
230,Nevada,False,True,False,True,"96,822",5-Jul-19,Reno,600 block of Spokane St,1.0,3.0
231,Nevada,False,True,False,True,"96,822",25-Mar-19,North Las Vegas,2400 block of W San Miguel St,0.0,5.0
232,Nevada,False,True,False,True,"96,822",17-Mar-19,Las Vegas,600 E Fremont St,0.0,4.0
233,Nebraska,False,True,True,True,"29,753",18-May-19,Omaha,2825 Y St,0.0,4.0
234,Montana,False,False,False,True,"23,476",17-Dec-19,Great Falls,1701 10th Ave S,4.0,1.0
235,Montana,False,False,False,True,"23,476",14-Mar-19,Missoula,5145 Airway Blvd,1.0,3.0
236,Missouri,False,False,False,True,"88,270",12-Dec-19,Saint Louis,9900 block of Lewis and Clark Blvd,1.0,3.0
237,Missouri,False,False,False,True,"88,270",10-Nov-19,Kansas City,4704 Independence Ave,0.0,4.0
